CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
OA10,The diagnosis is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Diagnosis
OA100,Payment made to patient/insured/responsible party,Contractual/Payment,Contractual/Payment/Other
OA101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Predetermination,Other/Unspecified
OA102,Major Medical Adjustment,Major Medical,Other/Unspecified
OA103,"Provider promotional discount (e.g., Senior citizen discount).",Contractual/Payment,Contractual/Payment/Other
OA104,Managed care withholding.,Contractual/Payment,Contractual/UCR
OA105,Tax withholding.,Contractual/Payment,Contractual/Payment/Other
OA106,Patient payment option/election not in effect.,Coverage/Eligibility,Coverage/Eligibility
OA107,Claim/service adjusted because the related or qualifying claim/service was not identified on this claim.,Authorization/Precert,Authorization/Precert
OA108,Rent/purchase guidelines were not met,Coverage/Eligibility,Coverage/Eligibility
OA109,Claim/service not covered by this payer/contractor,Coverage/Eligibility,Coverage/Eligibility
OA11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
OA110,Billing date predates service date.,Provider Billing Error,Provider Billing Error/Other
OA111,Not covered unless the provider accepts assignment.,Coverage/Eligibility,Coverage/Eligibility
OA112,Payment adjusted as not furnished directly to the patient and/or not documented.,Coverage/Eligibility,Coverage/Eligibility
OA113,Payment denied because service/procedure was provided outside the United States or as a result of war.,Coverage/Eligibility,Coverage/Eligibility
OA114,Procedure/product not approved by the Food and Drug Administration.,Coverage/Eligibility,Coverage/Eligibility
OA115,Payment adjusted as procedure postponed or canceled.,Medical Necessity/Review,Medical Necessity/Review
OA116,Payment denied. The advance indemnification notice signed by the patient did not comply with requirements.,Coverage/Eligibility,Coverage/Eligibility
OA117,Payment adjusted because transportation is only covered to the closest facility that can provide the necessary care.,Coverage/Eligibility,Coverage/Transport
OA118,Charges reduced for ESRD network support.,Coverage/Eligibility,Coverage/Transport
OA119,Benefit maximum has been reached,Benefit Limits,Benefit Limits
OA12,The diagnosis is inconsistent with the provider type.,Provider Billing Error,Provider Billing Error/Diagnosis
OA120,Patient is covered by a managed care plan.,Contractual/Payment,Contractual/UCR
OA121,Indemnification adjustment,Contractual/Payment,Contractual/Payment/Other
OA122,Psychiatric reduction.,Contractual/Payment,Contractual/Payment/Other
OA123,Payer refund due to overpayment.,Refund/Recovery,Refund/Recovery
OA124,Payer refund amount - not our patient.,Refund/Recovery,Refund/Recovery
OA125,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
OA126,Deductible -- Major Medical,Patient Responsibility,Patient Responsibility/Deductible
OA127,Coinsurance -- Major Medical,Patient Responsibility,Patient Responsibility/Coinsurance
OA128,Newborn's services are covered in the mother's Allowance.,Coverage/Eligibility,Coverage/Eligibility
OA129,Prior processing information appears incorrect,COB/Other Payer,COB/Other Payer
OA13,The date of death precedes the date of service.,Provider Billing Error,Provider Billing Error/Other
OA130,Claim submission fee.,Contractual/Payment,Contractual/Payment/Other
OA131,Claim specific pre-arranged demonstration project adjustment,Program/Demo Adjustment,Program/Demo
OA132,Prearranged demonstration project adjustment.,Program/Demo Adjustment,Program/Demo
OA133,The disposition of the claim/service is pending further review,Pending/Processing,Pending/Review
OA134,Technical fees removed from charges.,Bundled/Inclusive,Bundled/Inclusive
OA135,Claim denied. Interim bills cannot be processed.,Provider Billing Error,Provider Billing Error/Other
OA136,Failure to follow prior payer's coverage determination,Coverage/Eligibility,Coverage/Eligibility
OA137,"Payment/Reduction for Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Contractual/Payment,Contractual/Payment/Other
OA138,Appeal procedures not followed or time limits expired,Appeals/Timely Filing,Appeals/Timely Filing
OA139,Contracted funding agreement - Subscriber is employed by the provider of services.,Contractual/Payment,Contractual/Payment/Other
OA14,The date of birth follows the date of service.,Provider Billing Error,Provider Billing Error/Other
OA140,Patient/Insured health identification number and name do not match.,Provider Billing Error,Provider Billing Error/Other
OA141,Claim adjustment because the claim spans eligible and ineligible periods of coverage.,Coverage/Eligibility,Coverage/Eligibility
OA142,Claim adjusted by the monthly Medicaid patient liability amount.,Contractual/Payment,Contractual/Payment/Other
OA143,Portion of payment deferred.,Contractual/Payment,Contractual/Payment/Other
OA144,"Incentive adjustment, e.g. preferred product/service.",Contractual/Payment,Contractual/Payment/Other
OA145,Premium payment withholding,Contractual/Payment,Contractual/Payment/Other
OA146,Diagnosis was invalid for the date(s) of service reported,Provider Billing Error,Provider Billing Error/Diagnosis
OA147,Provider contracted/negotiated rate expired or not on file.,Appeals/Timely Filing,Appeals/Timely Filing
OA148,Claim/service rejected at this time because information from another provider was not provided or was insufficient/incomplete.,Documentation/Attachments,Documentation/Attachments
OA149,Lifetime benefit maximum has been reached for this service/benefit category.,Benefit Limits,Benefit Limits
OA15,"Payment adjusted because the submitted authorization number is missing, invalid, or does not apply to the billed services or provider.",Authorization/Precert,Authorization/Precert
OA150,Payment adjusted because the payer deems the information submitted does not support this level of service.,Medical Necessity/Review,Medical Necessity/Review
OA151,Payment adjusted because the payer deems the information submitted does not support this many services.,Medical Necessity/Review,Medical Necessity/Review
OA152,Payment adjusted because the payer deems the information submitted does not support this length of service.,Medical Necessity/Review,Medical Necessity/Review
OA153,Payment adjusted because the payer deems the information submitted does not support this dosage.,Medical Necessity/Review,Medical Necessity/Review
OA154,Payment adjusted because the payer deems the information submitted does not support this day's supply.,Documentation/Attachments,Documentation/Attachments
OA155,This claim is denied because the patient refused the service/procedure.,Medical Necessity/Review,Medical Necessity/Review
OA156,Flexible spending account payments,Pending/Processing,Pending/Review
OA157,Payment denied/reduced because service/procedure was provided as a result of an act of war.,Coverage/Eligibility,Coverage/Eligibility
OA158,Payment denied/reduced because the service/procedure was provided outside of the United States.,Coverage/Eligibility,Coverage/Eligibility
OA159,Payment denied/reduced because the service/procedure was provided as a result of terrorism.,Coverage/Eligibility,Coverage/Eligibility
OA16,Claim/service lacks information or has submission error(s),Provider Billing Error,Provider Billing Error/Other
OA160,Payment denied/reduced because injury/illness was the result of an activity that is a benefit exclusion.,Coverage/Eligibility,Coverage/Eligibility
OA161,Provider performance bonus,Contractual/Payment,Contractual/Payment/Other
OA162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",Regulatory/Sequestration,Regulatory/Sequestration
OA163,Claim/Service adjusted because the attachment referenced on the claim was not received.,Documentation/Attachments,Documentation/Attachments
OA164,Attachment/other documentation contains services not listed on claim,Documentation/Attachments,Documentation/Attachments
OA165,"Payment denied /reduced for absence of, or exceeded referral",Documentation/Attachments,Documentation/Attachments
OA166,These services were submitted after this payers responsibility for processing claims under this plan ended.,Documentation/Attachments,Documentation/Attachments
OA167,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
OA168,Blood deductible,Patient Responsibility,Patient Responsibility/Deductible
OA169,Payment adjusted because an alternate benefit has been provided,Contractual/Payment,Contractual/Payment/Other
OA17,Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided.,Documentation/Attachments,Documentation/Attachments
OA170,Payment is denied when performed/billed by this type of provider.,Coverage/Eligibility,Coverage/Eligibility
OA171,Payment is denied when performed/billed by this type of provider in this type of facility.,Network/Provider Contract,Network/Provider Credential
OA172,Payment adjusted as this service cannot be identified,Provider Billing Error,Provider Billing Error/Other
OA173,Payment adjusted because this service was not prescribed by a physician,Coverage/Eligibility,Coverage/Eligibility
OA174,Payment denied because this service was not prescribed prior to delivery,Coverage/Eligibility,Coverage/Eligibility
OA175,Payment denied because the prescription is incomplete,Coverage/Eligibility,Coverage/Eligibility
OA176,Payment denied because the prescription is not current,Coverage/Eligibility,Coverage/Eligibility
OA177,Patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
OA178,Payment adjusted because the patient has not met the required spend down requirements.,Documentation/Attachments,Documentation/Attachments
OA179,Payment adjusted because the patient has not met the required waiting requirements,Medical Necessity/Review,Medical Necessity/Review
OA18,Exact duplicate claim/service,Provider Billing Error,Provider Billing Error/Duplicate
OA180,Payment adjusted because the patient has not met the required residency requirements,Contractual/Payment,Contractual/UCR
OA181,Procedure code was invalid on the date of service,Provider Billing Error,Provider Billing Error/Coding
OA182,Procedure modifier was invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
OA183,The referring provider is not eligible to refer the service billed.,Network/Provider Contract,Network/Provider Credential
OA184,The prescribing/ordering provider is not eligible to prescribe/order the service billed.,Network/Provider Contract,Network/Provider Credential
OA185,The rendering provider is not eligible to perform the service billed.,Network/Provider Contract,Network/Provider Credential
OA186,Payment adjusted since the level of care changed,Contractual/Payment,Contractual/Payment/Other
OA187,Consumer Spending Account payments,Pending/Processing,Pending/Review
OA188,This product/procedure is only covered when used according to FDA recommendations.,Coverage/Eligibility,Coverage/Eligibility
OA189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,Provider Billing Error,Provider Billing Error/Coding
OA19,This is a work-related injury/illness,Other Insurance,Coverage/Workers Comp
OA190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,Documentation/Attachments,Documentation/Attachments
OA191,Claim denied because this is not a work related injury/illness and thus not the liability of the workers' compensation carrier.,Other Insurance,COB/No Fault
OA192,Non-standard adjustment code from paper remittance,Contractual/Payment,Contractual/Payment/Other
OA193,Original payment decision is being maintained,Appeals/Timely Filing,Appeals/Timely Filing
OA194,"Payment adjusted when anesthesia is performed by the operating physician, the assistant surgeon or the attending physician",Bundled/Inclusive,Bundled/Inclusive
OA195,Payment denied/reduced due to a refund issued to an erroneous priority payer for this claim/service,Refund/Recovery,Refund/Recovery
OA196,Claim/service denied based on prior payer's coverage determination.,Coverage/Eligibility,Coverage/Eligibility
OA197,Precertification/authorization/notification absent,Authorization/Precert,Authorization/Precert
OA198,Precertification/authorization exceeded,Authorization/Precert,Authorization/Precert
OA199,Revenue code and Procedure code do not match.,Provider Billing Error,Provider Billing Error/Coding
OA2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
OA20,Claim denied because this injury/illness is covered by the liability carrier.,Other Insurance,COB/No Fault
OA200,Expenses incurred during lapse in coverage,Coverage/Eligibility,Coverage/Eligibility
OA201,Workers Compensation case settled. Patient is responsible for amount of this claim/service through WC 'Medicare set aside arrangement' or other agreement. (Use group code PR).,Other Insurance,Coverage/Workers Comp
OA204,The time limit for filing has expired.,Appeals/Timely Filing,Appeals/Timely Filing
OA209,THE PROVIDER CANNOT COLLECT THIS AMOUNT FROM THE PATIENT.,Contractual/Payment,Contractual/Payment/Other
OA21,This injury/illness is the liability of the no-fault carrier,Other Insurance,COB/No Fault
OA216,New Patient qualifications were not met,Coverage/Eligibility,Coverage/Eligibility
OA22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
OA225,Penalty or Interest Payment by Payer,Contractual/Payment,Contractual/Payment/Other
OA226,ICD9 code on the claim not supported by billed proc.,Documentation/Attachments,Documentation/Attachments
OA23,The impact of prior payer(s) adjudication,COB/Other Payer,COB/Other Payer
OA24,Payment for charges adjusted. Charges are covered under a capitation agreement/managed care plan.,Contractual/Payment,Contractual/UCR
OA243,Services not authorized by network/primary care provider,Network/Provider Contract,Network/Provider Contract
OA25,Payment denied. Your Stop loss deductible has not been met.,Patient Responsibility,Patient Responsibility/Deductible
OA252,AN ATTACHMENT AND OTHER DOCUMENTATION IS REQUIRED,Documentation/Attachments,Documentation/Attachments
OA253,Sequestration - reduction in federal payment,Regulatory/Sequestration,Regulatory/Sequestration
OA256,Service not payable per managed care contract,Contractual/Payment,Contractual/UCR
OA258,Claim/service not covered when patient is in this type of facility,Coverage/Eligibility,Coverage/Eligibility
OA26,Expenses incurred prior to coverage.,Coverage/Eligibility,Coverage/Eligibility
OA27,Expenses incurred after coverage terminated.,Coverage/Eligibility,Coverage/Eligibility
OA28,Coverage terminated before service date,Coverage/Eligibility,Coverage/Eligibility
OA29,The time limit for filing has expired,Appeals/Timely Filing,Appeals/Timely Filing
OA3,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
OA30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.",Contractual/Payment,Contractual/Payment/Other
OA31,Patient cannot be identified as our insured,Coverage/Eligibility,Coverage/Eligibility
OA32,Our records indicate that this dependent is not an eligible dependent as defined.,Documentation/Attachments,Documentation/Attachments
OA33,Claim denied. Insured has no dependent coverage.,Coverage/Eligibility,Coverage/Eligibility
OA34,Claim denied. Insured has no coverage for newborns.,Coverage/Eligibility,Coverage/Eligibility
OA35,Lifetime benefit maximum has been reached.,Benefit Limits,Benefit Limits
OA36,Balance does not exceed co-payment amount.,Patient Responsibility,Patient Responsibility/Copay
OA37,Balance does not exceed deductible.,Patient Responsibility,Patient Responsibility/Deductible
OA38,Services not provided or not provided as frequently as billed,Provider Billing Error,Provider Billing Error/Other
OA39,Services denied at the time authorization/pre-certification was requested,Authorization/Precert,Authorization/Precert
OA4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
OA40,Charges do not meet qualifications for emergent/urgent care.,Coverage/Eligibility,Coverage/Eligibility
OA41,Discount agreed to in Preferred Provider contract.,Provider Billing Error,Provider Billing Error/Coding
OA42,Procedure code was not valid on date of service,Provider Billing Error,Provider Billing Error/Coding
OA43,Gramm-Rudman reduction.,Provider Billing Error,Provider Billing Error/Coding
OA44,Prompt-pay discount.,Contractual/Payment,Contractual/Payment/Other
OA45,Charges exceed your contracted/legislated fee arrangement,Contractual/Payment,Contractual/Payment/Other
OA46,This (these) service(s) is (are) not covered.,Authorization/Precert,Authorization/Precert
OA47,This service/procedure requires authorization from the patient's primary care provider,Authorization/Precert,Authorization/Precert
OA48,This (these) procedure(s) is (are) not covered.,Other Insurance,Coverage/Workers Comp
OA49,These are non-covered services because this is a routine exam or screening procedure done in conjunction with a routine exam.,Coverage/Eligibility,Coverage/Eligibility
OA5,The procedure code/bill type is inconsistent with the place of service.,Provider Billing Error,Provider Billing Error/POS
OA50,These are non-covered services,Coverage/Eligibility,Coverage/Eligibility
OA51,These are non-covered services because this is a pre-existing condition,Bundled/Inclusive,Bundled/Inclusive
OA52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,Network/Provider Contract,Network/Provider Credential
OA53,Services by an immediate relative or a member of the same household are not covered.,Coverage/Eligibility,Coverage/Eligibility
OA54,Multiple physicians/assistants are not covered in this case .,Coverage/Eligibility,Coverage/Eligibility
OA55,Claim/service denied because procedure/treatment is deemed experimental/investigational by the payer.,Medical Necessity/Review,Medical Necessity/Review
OA56,Claim/service denied because procedure/treatment has not been deemed 'proven to be effective' by the payer.,Medical Necessity/Review,Medical Necessity/Review
OA57,Payment based on policy limits,Coverage/Eligibility,Coverage/Eligibility
OA58,Payment adjusted because treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service.,Provider Billing Error,Provider Billing Error/POS
OA59,Charges are adjusted based on multiple surgery rules or concurrent anesthesia rules.,Bundled/Inclusive,Bundled/Inclusive
OA6,The procedure/revenue code is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Coding
OA60,Charges for outpatient services with this proximity to inpatient services are not covered.,Bundled/Inclusive,Bundled/Inclusive
OA61,Charges adjusted as penalty for failure to obtain second surgical opinion.,Coverage/Eligibility,Coverage/Eligibility
OA62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",Authorization/Precert,Authorization/Precert
OA63,Correction to a prior claim.,Correction,Other/Unspecified
OA64,Denial reversed per Medical Review.,Correction,Other/Unspecified
OA65,Procedure code was incorrect. This payment reflects the correct code.,Provider Billing Error,Provider Billing Error/Coding
OA66,Blood Deductible.,Patient Responsibility,Patient Responsibility/Deductible
OA67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",Provider Billing Error,Provider Billing Error/Coding
OA68,DRG weight. (Handled in CLP12),DRG/Outlier,DRG/Outlier
OA69,Day outlier amount.,DRG/Outlier,DRG/Outlier
OA7,The procedure/revenue code is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Coding
OA70,Cost outlier - Adjustment to compensate for additional costs.,DRG/Outlier,DRG/Outlier
OA71,Primary Payer amount.,COB/Other Payer,COB/Other Payer
OA72,"Coinsurance day. (Handled in QTY, QTY01=CD)",Patient Responsibility,Patient Responsibility/Coinsurance
OA73,Administrative days.,DRG/Outlier,DRG/Outlier
OA74,Indirect Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
OA75,Direct Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
OA76,Disproportionate Share Adjustment.,DRG/Outlier,DRG/Outlier
OA77,"Covered days. (Handled in QTY, QTY01=CA)",DRG/Outlier,DRG/Outlier
OA78,Non-Covered days/Room charge adjustment.,Coverage/Eligibility,Coverage/Eligibility
OA79,Cost Report days. (Handled in MIA15),DRG/Outlier,DRG/Outlier
OA8,The procedure code is inconsistent with the provider type/specialty,Provider Billing Error,Provider Billing Error/Coding
OA80,"Outlier days. (Handled in QTY, QTY01=OU)",DRG/Outlier,DRG/Outlier
OA81,Discharges.,DRG/Outlier,DRG/Outlier
OA82,PIP days.,DRG/Outlier,DRG/Outlier
OA83,Total visits.,DRG/Outlier,DRG/Outlier
OA84,Capital Adjustment. (Handled in MIA),DRG/Outlier,DRG/Outlier
OA85,Interest amount.,Contractual/Payment,Contractual/Payment/Other
OA86,Statutory Adjustment.,Contractual/Payment,Contractual/Payment/Other
OA87,Transfer amount.,Contractual/Payment,Contractual/Payment/Other
OA88,Adjustment amount represents collection against receivable created in prior overpayment.,Refund/Recovery,Refund/Recovery
OA89,Professional fees removed from charges.,COB/Other Payer,COB/Other Payer
OA9,The diagnosis is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Diagnosis
OA90,Ingredient cost adjustment.,Other Insurance,Coverage/Workers Comp
OA91,Dispensing fee adjustment.,Medical Necessity/Review,Medical Necessity/Review
OA92,Claim Paid in full.,Other Insurance,Coverage/Workers Comp
OA93,No Claim level Adjustments.,Coverage/Eligibility,Coverage/Eligibility
OA94,Processed in accordance with Demonstration Project,Program/Demo Adjustment,Program/Demo
OA95,Plan procedures not followed,Provider Billing Error,Provider Billing Error/Other
OA96,Non-covered charge(s),Coverage/Eligibility,Coverage/Eligibility
OA97,Payment is included in another service/procedure,Bundled/Inclusive,Bundled/Inclusive
OA98,The hospital must file the Medicare claim for this inpatient non-physician service.,Benefit Limits,Benefit Limits
OA99,Medicare Secondary Payer Adjustment Amount.,COB/Other Payer,COB/Other Payer
OAA0,Patient refund amount.,Refund/Recovery,Refund/Recovery
OAA1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
OAA2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
OAA3,Medicare Secondary Payer liability met.,COB/Other Payer,COB/Other Payer
OAA4,Medicare Claim PPS Capital Day Outlier Amount.,Provider Billing Error,Provider Billing Error/Modifier
OAA5,Medicare Claim PPS Capital Cost Outlier Amount.,Provider Billing Error,Provider Billing Error/POS
OAA6,Prior hospitalization or 30 day transfer requirement not met.,Provider Billing Error,Provider Billing Error/Coding
OAA7,Presumptive Payment Adjustment,Provider Billing Error,Provider Billing Error/Coding
OAA8,Claim denied; ungroupable DRG,Provider Billing Error,Provider Billing Error/Coding
OAB1,Non-covered visits.,Patient Responsibility,Patient Responsibility/Deductible
OAB10,Allowed amount has been reduced because a component of the basic procedure/test was paid. The beneficiary is not liable for more than the charge limit for the basic procedure/test.,Provider Billing Error,Provider Billing Error/Diagnosis
OAB11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
OAB12,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
OAB13,The date of death precedes the date of service,Provider Billing Error,Provider Billing Error/Other
OAB14,Payment denied because only one visit or consultation per physician per day is covered.,Provider Billing Error,Provider Billing Error/Other
OAB15,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
OAB16,Payment adjusted because 'New Patient' qualifications were not met.,Provider Billing Error,Provider Billing Error/Other
OAB17,"Payment adjusted because this service was not prescribed by a physician, not prescribed prior to delivery, the prescription is incomplete, or the prescription is not current.",Documentation/Attachments,Documentation/Attachments
OAB18,Payment adjusted because this procedure code and modifier were invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
OAB19,Claim/service adjusted because of the finding of a Review Organization.,Other Insurance,Coverage/Workers Comp
OAB2,Covered visits.,Patient Responsibility,Patient Responsibility/Coinsurance
OAB20,Payment adjusted because procedure/service was partially or fully furnished by another provider.,Other Insurance,COB/No Fault
OAB21,The charges were reduced because the service/care was partially furnished by another physician.,Other Insurance,COB/No Fault
OAB22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
OAB23,Payment denied because this provider has failed an aspect of a proficiency testing program.,COB/Other Payer,COB/Other Payer
OAB3,Covered charges.,Patient Responsibility,Patient Responsibility/Copay
OAB4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
OAB5,Payment adjusted because coverage/program guidelines were not met or were exceeded.,Coverage/Eligibility,Coverage/Eligibility
OAB6,"This payment is adjusted when performed/billed by this type of provider, by this type of provider in this type of facility, or by a provider of this specialty.",Provider Billing Error,Provider Billing Error/Coding
OAB7,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
OAB8,"Claim/service not covered/reduced because alternative services were available, and should have been utilized.",Provider Billing Error,Provider Billing Error/Coding
OAB9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
OAD1,Claim/service denied. Level of subluxation is missing or inadequate.,Coverage/Eligibility,Coverage/Eligibility
OAD10,Claim/service denied. Completed physician financial relationship form not on file.,Documentation/Attachments,Documentation/Attachments
OAD11,Claim lacks completed pacemaker registration form.,Documentation/Attachments,Documentation/Attachments
OAD12,Claim/service denied. Claim does not identify who performed the purchased diagnostic test or the amount you were charged for the test.,Documentation/Attachments,Documentation/Attachments
OAD13,Claim/service denied. Performed by a facility/supplier in which the ordering/referring physician has a financial interest.,Conflict of Interest,Other/Unspecified
OAD14,Claim lacks indication that plan of treatment is on file.,Documentation/Attachments,Documentation/Attachments
OAD15,Claim lacks indication that service was supervised or evaluated by a physician.,Documentation/Attachments,Documentation/Attachments
OAD16,Claim lacks prior payer payment information.,Documentation/Attachments,Documentation/Attachments
OAD17,Claim/Service has invalid non-covered days.,Provider Billing Error,Provider Billing Error/Other
OAD18,Diagnosis information missing,Provider Billing Error,Provider Billing Error/Diagnosis
OAD19,Claim/Service lacks Physician/Operative or other supporting documentation,Documentation/Attachments,Documentation/Attachments
OAD2,"Claim lacks the name, strength, or dosage of the drug furnished.",Coverage/Eligibility,Coverage/Eligibility
OAD20,Claim/Service missing service/product information.,Documentation/Attachments,Documentation/Attachments
OAD21,This (these) diagnosis(es) is (are) missing or are invalid,Provider Billing Error,Provider Billing Error/Diagnosis
OAD3,Claim/service denied because information to indicate if the patient owns the equipment that requires the part or supply was missing.,Coverage/Eligibility,Coverage/Eligibility
OAD4,Claim/service does not indicate the period of time for which this will be needed.,Documentation/Attachments,Documentation/Attachments
OAD5,Claim/service denied. Claim lacks individual lab codes included in the test.,Documentation/Attachments,Documentation/Attachments
OAD6,Claim/service denied. Claim did not include patient's medical record for the service.,Documentation/Attachments,Documentation/Attachments
OAD7,Claim/service denied. Claim lacks date of patient's most recent physician visit.,Documentation/Attachments,Documentation/Attachments
OAD8,Claim/service denied. Claim lacks indicator that 'x-ray is available for review.',Documentation/Attachments,Documentation/Attachments
OAD9,"Claim/service denied. Claim lacks invoice or statement certifying the actual cost of the lens, less discounts or the type of intraocular lens used.",Documentation/Attachments,Documentation/Attachments
OANON01,Non-standard adjustment code NON01 (payer-specific),Payer Specific,Other/Unspecified
OAW1,Workers Compensation State Fee Schedule Adjustment,Other Insurance,Coverage/Workers Comp
P03,Submitted diagnosis codes do not meet ICD coding logic.,Provider Billing Error,Provider Billing Error/Diagnosis
P4,This Claim is a Duplicate of a Previously Submitted Claim for this Member,Provider Billing Error,Provider Billing Error/Duplicate
PI1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
PI10,The diagnosis is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Diagnosis
PI100,Payment made to patient/insured/responsible party.,Contractual/Payment,Contractual/Payment/Other
PI101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Predetermination,Other/Unspecified
PI102,Major Medical Adjustment.,Major Medical,Other/Unspecified
PI103,"Provider promotional discount (e.g., Senior citizen discount).",Contractual/Payment,Contractual/Payment/Other
PI104,Managed care withholding.,Contractual/Payment,Contractual/UCR
PI105,Tax withholding.,Contractual/Payment,Contractual/Payment/Other
PI106,Patient payment option/election not in effect.,Coverage/Eligibility,Coverage/Eligibility
PI107,Payment adjusted for failure to obtain treatment authorization,Authorization/Precert,Authorization/Precert
PI108,Payment adjusted because rent/purchase guidelines were not met.,Coverage/Eligibility,Coverage/Eligibility
PI109,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor.,Coverage/Eligibility,Coverage/Eligibility
PI11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
PI110,Billing date predates service date.,Provider Billing Error,Provider Billing Error/Other
PI111,Not covered unless the provider accepts assignment.,Coverage/Eligibility,Coverage/Eligibility
PI112,Payment adjusted as not furnished directly to the patient and/or not documented.,Coverage/Eligibility,Coverage/Eligibility
PI113,Payment denied because service/procedure was provided outside the United States or as a result of war.,Coverage/Eligibility,Coverage/Eligibility
PI114,Procedure/product not approved by the Food and Drug Administration.,Coverage/Eligibility,Coverage/Eligibility
PI115,Payment adjusted as procedure postponed or canceled.,Medical Necessity/Review,Medical Necessity/Review
PI116,Payment denied. The advance indemnification notice signed by the patient did not comply with requirements.,Coverage/Eligibility,Coverage/Eligibility
PI117,Payment adjusted because transportation is only covered to the closest facility that can provide the necessary care.,Coverage/Eligibility,Coverage/Transport
PI118,Charges reduced for ESRD network support.,Coverage/Eligibility,Coverage/Transport
PI119,Benefit maximum for this time period or occurrence has been reached.,Benefit Limits,Benefit Limits
PI12,The diagnosis is inconsistent with the provider type.,Provider Billing Error,Provider Billing Error/Diagnosis
PI120,Patient is covered by a managed care plan.,Contractual/Payment,Contractual/UCR
PI121,Indemnification adjustment.,Contractual/Payment,Contractual/Payment/Other
PI122,Psychiatric reduction.,Contractual/Payment,Contractual/Payment/Other
PI123,Payer refund due to overpayment.,Refund/Recovery,Refund/Recovery
PI124,Payer refund amount - not our patient.,Refund/Recovery,Refund/Recovery
PI125,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
PI126,Deductible -- Major Medical,Patient Responsibility,Patient Responsibility/Deductible
PI127,Coinsurance -- Major Medical,Patient Responsibility,Patient Responsibility/Coinsurance
PI128,Newborn's services are covered under the mother's plan,Coverage/Eligibility,Coverage/Eligibility
PI129,Prior processing information appears incorrect,COB/Other Payer,COB/Other Payer
PI13,The date of death precedes the date of service.,Provider Billing Error,Provider Billing Error/Other
PI130,Claim submission fee.,Contractual/Payment,Contractual/Payment/Other
PI131,Claim specific negotiated discount.,Program/Demo Adjustment,Program/Demo
PI132,Prearranged demonstration project adjustment.,Program/Demo Adjustment,Program/Demo
PI133,The disposition of this claim/service is pending further review.,Pending/Processing,Pending/Review
PI134,Technical fees removed from charges.,Bundled/Inclusive,Bundled/Inclusive
